,TLT.OPEN,TLT.HIGH,TLT.LOW,TLT.CLOSE
2010-03-12,89.77,90.65,89.7301,90.48
2010-03-15,90.35,90.47,90.05,90.36
2010-03-16,90.56,91.09,90.54,91.08
2010-03-17,91.31,91.47,91.07,91.47
2010-03-18,91.42,91.48,91.01,91.17
2010-03-19,90.92,91.58,90.87,91.26
2010-03-22,91.35,91.49,91.22,91.36
2010-03-23,91.07,91.32,90.91,90.93
2010-03-24,89.84,90.25,89.0595,89.27
2010-03-25,89.13,89.24,88.37,88.7
2010-03-26,88.54,89.12,88.49,88.95
2010-03-29,88.78,88.85,88.31,88.61
2010-03-30,88.52,88.95,88.27,88.89
2010-03-31,89.22,89.52,88.95,89.5
2010-04-01,88.77,89.03,88.43,88.95
2010-04-05,87.98,88.1399,87.41,87.47
2010-04-06,87.8,87.85,87.35,87.61
2010-04-07,87.45,88.92,87.3,88.73
2010-04-08,88.89,89.13,88.48,88.77
2010-04-09,88.61,89.055,88.41,88.98
2010-04-12,89.17,89.56,89.09,89.45
2010-04-13,89.89,89.95,89.52,89.74
2010-04-14,89.76,89.87,89.11,89.11
2010-04-15,88.85,89.5,88.68,89.21
2010-04-16,89.4,89.99,89.24,89.86
2010-04-19,89.87,90.03,89.52,89.64
2010-04-20,89.85,89.99,89.6445,89.96
2010-04-21,90.27,90.83,90.26,90.7
2010-04-22,90.9,91.0882,90.33,90.43
2010-04-23,90.21,90.365,89.87,90.11
2010-04-26,90.51,90.65,89.94,90.21
2010-04-27,90.85,91.92,90.7,91.48
2010-04-28,91.13,91.35,90.481,90.7
2010-04-29,90.86,91.2225,90.52,91.08
2010-04-30,91.28,92.17,91.11,92.13
2010-05-03,91.42,92.02,91.28,91.69
2010-05-04,92.81,93.47,92.56,93.34
2010-05-05,94.06,94.85,93.35,93.89
2010-05-06,94.16,100,93.78,96.79
2010-05-07,95.88,98.09,95.27,95.58
2010-05-10,93.16,93.94,93.085,93.6
2010-05-11,93.98,94.02,92.99,93.36
2010-05-12,93.14,93.26,92.61,92.65
2010-05-13,93.26,93.55,92.1985,93.26
2010-05-14,94.12,95.5,94.09,94.88
2010-05-17,94.72,95.71,94.47,94.53
2010-05-18,94.9,96.17,94.77,95.98
2010-05-19,95.94,96.95,95.93,96.3
2010-05-20,97.91,98.57,97.53,98.33
2010-05-21,99.61,99.75,97.86,98.43
2010-05-24,98.74,98.87,97.9,98.09
2010-05-25,99.65,99.89,98.4,98.57
2010-05-26,98.22,98.4019,97.4001,98.29
2010-05-27,96.83,96.99,95.88,96.06
2010-05-28,96.49,96.78,96.015,96.5
2010-06-01,97.23,97.29,96.25,96.85
2010-06-02,96.99,97.19,95.82,95.93
2010-06-03,95.21,95.91,95.1,95.23
2010-06-04,96.94,97.95,96.7,97.79
2010-06-07,97.52,98.59,97.33,98.54
2010-06-08,97.93,98.51,97.76,98.05
2010-06-09,97.6,98.12,97.21,97.94
2010-06-10,97.2,97.29,96.09,96.19
2010-06-11,97.09,97.81,96.61,97.41
2010-06-14,96.32,97.04,96.22,96.91
2010-06-15,97.11,97.25,96.05,96.51
2010-06-16,97.19,97.22,96.39,97.06
2010-06-17,97.15,98.23,97.07,97.85
2010-06-18,97.89,98.11,97.57,97.69
2010-06-21,96.46,97.55,96.41,97.41
2010-06-22,97.68,98.6,97.42,98.57
2010-06-23,98.61,99.57,98.57,99.24
2010-06-24,99.35,99.59,98.35,98.65
2010-06-25,98.32,99.33,98.16,99.05
2010-06-28,99.6,100,99.4172,99.98
2010-06-29,100.32,101.125,100.16,101.07
2010-06-30,101.41,101.79,100.8,101.75
2010-07-01,101.57,102.66,101.38,101.6
2010-07-02,101.11,101.44,100.16,100.79
2010-07-06,100.83,101.75,100.74,101.62
2010-07-07,101.46,101.51,100.34,100.43
2010-07-08,99.82,100.16,99.5501,99.79
2010-07-09,99.4,99.64,99.18,99.22
2010-07-12,99.33,99.84,99.04,99.18
2010-07-13,98.85,98.89,98.18,98.33
2010-07-14,98.72,99.49,98.39,99.32
2010-07-15,99.74,100.59,99.7,100.31
2010-07-16,100.31,101.13,100.27,100.8
2010-07-19,100.56,100.75,99.98,100.18
2010-07-20,100.67,100.9,100.18,100.33
2010-07-21,100.45,102.28,100.41,102.03
2010-07-22,101.51,101.52,100.82,100.85
2010-07-23,100.8,100.97,99.69,99.78
2010-07-26,99.63,99.81,99,99.61
2010-07-27,98.78,99.179,98.5699,98.65
2010-07-28,98.49,99.19,98.27,98.97
2010-07-29,98.1,99.02,97.92,98.94
2010-07-30,100.2,100.61,99.85,100.48
2010-08-02,99.24,99.33,98.75,98.75
2010-08-03,99.2,99.66,98.93,99.32
2010-08-04,99.5,99.51,98.56,98.56
2010-08-05,99.34,99.49,98.84,99.02
2010-08-06,99.79,100.21,99.49,100.1
