,RWR.OPEN,RWR.HIGH,RWR.LOW,RWR.CLOSE
2013-05-13,83.7,84.1,83.58,84.03
2013-05-14,84.06,84.56,84.06,84.37
2013-05-15,84.25,85.13,83.961,85.07
2013-05-16,84.97,85.32,84.44,84.67
2013-05-17,85.03,85.17,84.62,85.13
2013-05-20,85.02,85.39,84.99,85.34
2013-05-21,85.59,86.074,85.52,85.91
2013-05-22,86.1,86.63,83.31,83.8
2013-05-23,83.11,83.1381,81.861,82.354
2013-05-24,82.15,82.29,81.25,82.15
2013-05-28,83.64,83.64,80.97,81.47
2013-05-29,80.86,80.86,78.87,79.78
2013-05-30,79.73,80.32,78.95,79.01
2013-05-31,78.85,79.49,77.92,77.9501
2013-06-03,78.11,78.76,77.33,78.51
2013-06-04,78.47,78.78,77.43,77.43
2013-06-05,77.43,77.66,76.47,76.76
2013-06-06,76.66,77.99,76.07,77.98
2013-06-07,78.01,78.48,76.86,77.97
2013-06-10,78.02,78.16,77.12,77.25
2013-06-11,76.791,76.99,76.04,76.05
2013-06-12,76.48,76.5,74.802,75.059
2013-06-13,74.91,77.27,74.67,77.07
2013-06-14,77.12,78.23,76.86,77.36
2013-06-17,77.63,78.27,77.08,77.59
2013-06-18,77.68,78.38,77.25,77.88
2013-06-19,78.04,78.05,75.2,75.41
2013-06-20,74.76,74.76,71.97,72.32
2013-06-21,72.06,73.38,71.4499,72.73
2013-06-24,72.07,74.038,70.8901,72.5
2013-06-25,73.08,74.19,72.6,73.82
2013-06-26,74.59,75.08,74.4,74.78
2013-06-27,75.17,76.38,75.17,76.3
2013-06-28,76.13,76.56,75.54,75.95
2013-07-01,76.25,76.68,75.5,75.63
2013-07-02,75.71,76.94,74.16,76.84
2013-07-03,76.67,76.67,75.48,76.25
2013-07-05,76.44,76.64,74.44,76.01
2013-07-08,76.48,76.8199,76.1,76.19
2013-07-09,76.77,77.48,76.34,77.23
2013-07-10,77.23,77.39,76.52,77.16
2013-07-11,78.65,79.22,78.23,79.14
2013-07-12,78.74,79.29,78.249,78.64
2013-07-15,78.77,79.1399,78.43,78.92
2013-07-16,78.88,79.26,78.75,78.91
2013-07-17,79.26,79.44,78.87,79.31
2013-07-18,79.47,80.06,79.34,80.06
2013-07-19,79.96,80.12,79.61,79.81
2013-07-22,79.79,80.244,78.96,80.15
2013-07-23,80.29,80.3904,79.76,80.08
2013-07-24,80.3,80.3,77.96,78.46
2013-07-25,78.23,78.69,77.99,78.57
2013-07-26,78.4,78.65,77.96,78.62
2013-07-29,78.33,78.71,77.8963,78.02
